85,SC085,SSCS Glasgow,Burgh Hall,Church Street,,Dumbarton,,G82 1QL,,501,"https://www.google.com/maps/place/Burgh+Hall,+10+Church+St,+Dumbarton+G82+1QL,+UK/@55.9435322,-4.5680991,18z/data=!3m1!4b1!4m5!3m4!1s0x488852a11c8e30d7:0xa43b598c023233c5!8m2!3d55.9435712!4d-4.5672617"
86,SC086,SSCS Glasgow,Kintyre Community and Education Centre,Stewart Road,,CAMPBELTOWN,Argyll,PA28 6AT,,501,"https://www.google.com/maps/place/Kintyre+Community+Education+Centre/@55.4221089,-5.6074915,17z/data=!3m1!4b1!4m5!3m4!1s0x488a06eee4216081:0x59e574a5bf9072f8!8m2!3d55.4221059!4d-5.6053028"
89,SC948,SSCS Glasgow,Dundee Tribunal Centre,Ground Floor,Caledonian House,Greenmarket,Dundee,DD1 4QX,,501,"https://www.google.com/maps/place/Employment+Tribunal+Service/@56.4568821,-2.9746202,17z/data=!3m1!4b1!4m5!3m4!1s0x48865cbfb7a5dfb7:0x6b9c47f1c3a2077a!8m2!3d56.4568792!4d-2.9724315"
90,SC090,SSCS Glasgow,St Leonards Church Hall,Woodmill Street,,Dunfermline,,KY11 4JN,,501,"https://www.google.com/maps/place/HM+Courts+%26+Tribunal+Service/@56.0675323,-3.4550886,17z/data=!4m8!1m2!2m1!1sSt+Leonards+Church+Hall+Woodmill+Street+Dunfermline+KY11+4JN!3m4!1s0x0:0x2795c4a07bb58f29!8m2!3d56.0668728!4d-3.4540281"
91,SC091,SSCS Glasgow,Riverside House,"Floor 2, Riverside House",502 Gorgie Road,Edinburgh,,EH11 3AF,,501,"https://www.google.com/maps/place/Floor+2%2C+Riverside+House+502+Gorgie+Road+Edinburgh+EH11+3AF/@55.932368,-3.250028"
92,SC092,SSCS Glasgow,Phoenix House,1 Wards Road,,Elgin,Morayshire,IV30 1QL,,501,"https://www.google.com/maps/place/1+Wards+Road+Elgin+Morayshire+IV30+1QL/@57.643429,-3.313722"
94,SC094,SSCS Glasgow,Old Gala House,Scott Street,,,,TD1 3JS,,501,"https://www.google.com/maps/place/Old+Gala+House/@55.6139186,-2.8109789,17z/data=!3m1!4b1!4m5!3m4!1s0x48878497ed0146c9:0xb52f68bbad9c92e2!8m2!3d55.6139156!4d-2.8087902"
96,SC100,SSCS Glasgow,Wellington House,134-136 Wellington Street,,Glasgow,,G2 2XL,0141 353 1441,501,"https://www.google.com/maps/place/134-136+Wellington+Street+Glasgow+G2+2XL/@55.864541,-4.259269"
97,SC942,SSCS Glasgow,Cairndale Hotel,Park House Conference Centre,Park House Conf. Centre,English Street,Dumfries,DG1 2DF,,501,"https://www.google.com/maps/place/Cairndale+Hotel+and+Leisure+Club/@55.0695532,-3.6078285,17z/data=!3m1!4b1!4m5!3m4!1s0x4862ca6c3fb8bee3:0xc6d81ae005b51c12!8m2!3d55.0695501!4d-3.6056398"
101,SC101,SSCS Glasgow,Hamilton Tribunal Centre,Ground Floor,"Block C, Brandon Gate           ",Leechlee Road,Hamilton,ML3 6AU,,501,"https://www.google.com/maps/place/Brandon+Gate,+1+Leechlee+Rd,+Hamilton+ML3+6AU,+UK/@55.7746349,-4.0403292,17z/data=!3m1!4b1!4m5!3m4!1s0x4888152953f283f9:0x90dd2857d999ea51!8m2!3d55.7746342!4d-4.0385962"
104,SC104,SSCS Glasgow,Urquhart House,Urquhart House (Ground FL ),Beechwood Business Park,Inverness,,IV2 3BW,,501,"https://www.google.com/maps/place/Inverness+IV2+3BW,+UK/@57.4723634,-4.1884,18.32z/data=!4m5!3m4!1s0x488f712578a5bc3f:0x8bbcaac50701b176!8m2!3d57.4723245!4d-4.1877119"
105,SC105,SSCS Glasgow,Volunteer Rooms,19 High Street,,Irvine,,KA12 0BA,,501,"https://www.google.com/maps/place/Volunteer+Rooms/@55.613285,-4.6670893,17z/data=!3m1!4b1!4m5!3m4!1s0x4889ce70826bada3:0x6e9c5c12a699c568!8m2!3d55.613282!4d-4.6649006"
106,SC106,SSCS Glasgow,North West Kilmarnock Area Centre,N. West Kilmarnock Area Centre,Western Road,Kilmarnock,,KA3 1NQ,,501,"https://www.google.com/maps/place/N.+West+Kilmarnock+Area+Centre+Western+Road+Kilmarnock+KA3+1NQ/@55.621746,-4.498801"
108,SC108,SSCS Glasgow,The New Volunteer House,16 East Fergus Place,,Kirkcaldy,,KY1 1XY,,501,"https://www.google.com/maps/place/16+East+Fergus+Place+Kirkcaldy+KY1+1XY/@56.110359,-3.165411"
109,SC109,SSCS Glasgow,St Magnus Centre,Palace Road,,Kirkwall,,KW15 1PA,,501,"https://www.google.com/maps/place/St+Magnus+Centre/@58.9810307,-2.9617829,17z/data=!4m13!1m7!3m6!1s0x489b01618535d601:0xab9aa4f81d4897c7!2sPalace+Rd,+Kirkwall+KW15+1PA,+UK!3b1!8m2!3d58.9810307!4d-2.9595942!3m4!1s0x489b01622ebeab85:0xc42f83702ca7779b!8m2!3d58.9809914!4d-2.9581453"
110,SC110,SSCS Glasgow,Islesburgh Community Centre,King Harald Street,,Lerwick,,ZE1 0EQ,,501,"https://www.google.com/maps/place/King+Harald+Street+Lerwick+ZE1+0EQ/@60.152732,-1.149263"
111,SC111,SSCS Glasgow,The Bayhead Bridge Centre,Lamont Lane,Bayhead,Stornoway,Isle of Lewis,HS1 2EB,,501,"https://www.google.com/maps/place/The+Bayhead+Bridge+Centre/@58.2130578,-6.3896899,17z/data=!3m1!4b1!4m5!3m4!1s0x4892082a65a7ea67:0xf22a312ecfe11c13!8m2!3d58.213055!4d-6.3875012"
112,SC112,SSCS Glasgow,The Corran Halls,54 Esplanade,,Oban,,PA34 5AB,,501,"https://www.google.com/maps/place/54+Esplanade+Oban+PA34+5AB/@56.419119,-5.476135"
114,SC114,SSCS Glasgow,The High Kirk,Leswalt High Road,,Stranraer,,DG9 0AA,,501,"https://www.google.com/maps/place/High+Kirk,+Leswalt+High+Rd+Stranraer/@54.9047076,-5.0362165,17z/data=!3m1!4b1!4m5!3m4!1s0x48623bb247a8fa8f:0x56379a32df7fd4c7!8m2!3d54.9047045!4d-5.0340278"
115,SC115,SSCS Glasgow,The Assembly Rooms,The Mowatt Room,Assembly Rooms,Sinclair Terrace,Wick,KW1 5AB,,501,"https://www.google.com/maps/place/Wick+Assembly+Rooms/@58.4392267,-3.0920903,17z/data=!3m1!4b1!4m5!3m4!1s0x489ad6baf714f0ed:0x38c71102a5f53703!8m2!3d58.4392239!4d-3.0899016"
122,SC122,SSCS Liverpool,Bayley House,St Georges Square,,Bolton,Greater Manchester,BL1 2HB,,601,"https://www.google.com/maps/place/St+George's+St,+Bolton+BL1+2HB,+UK/@53.5832288,-2.4294378,17z/data=!3m1!4b1!4m5!3m4!1s0x487ba6ff655ed027:0xd1303ea7271b3a2d!8m2!3d53.5829622!4d-2.4275295"
123,SC123,SSCS Liverpool,St James House,1st Floor,St. James Row,Burnley,Lancashire,BB11 1LH,01282 416587,601,"https://www.google.com/maps/place/1st+Floor+St.+James+Row+Burnley+Lancashire+BB11+1LH/@53.788887,-2.244236"
132,SC132,SSCS Birmingham,Norfolk House,23 Southway,,Colchester,Essex,CO3 3EG,01206 576230,201,"https://www.google.com/maps/place/23+Southway+Colchester+Essex+CO3+3EG/@51.887490,0.893785"
133,SC133,SSCS Birmingham,Harlow Magistrates Court,The Court House,,Harlow,Essex,CM20 1HH,,201,"https://maps.google.com/maps?q=51.7683073546,0.0967443677064"
134,SC135,SSCS Birmingham,Ipswich Tribunals & Witness Suite,Elm Street,,,Ipswich,IP1 2AP,01473 626080,201,"https://www.google.com/maps?q=52.0568659044,1.14889336766"
140,SC140,SSCS Birmingham,Cambridge County Court,,197 East Road,Cambridge,Cambridgeshire,CB1 1BA,01223 360749,201,"https://www.google.com/maps/place/197+East+Road+Cambridge+Cambridgeshire+CB1+1BA/@52.203713,0.132065"
141,SC141,SSCS Birmingham,Kings Lynn Magistrates Court,The Court House,College Lane,Kings Lynn,Norfolk,PE30 1PQ,,201,"https://www.google.com/maps/place/Kings+Lynn+Magistrates+Court/@52.751744,0.3915031,17z/data=!3m1!4b1!4m5!3m4!1s0x47d7f4d335c6f035:0x9d07beb2f9ba32c1!8m2!3d52.751744!4d0.3936918"
142,SC142,SSCS Birmingham,The Old Bakery,115 Queens Road,,Norwich,Norfolk,NR1 3PL,01603 610978,201,"https://www.google.com/maps/place/The+Tribunal+Services/@52.6221993,1.2928999,17z/data=!3m1!4b1!4m5!3m4!1s0x47d9e3e4e1b11f6d:0xe59811e6d74ce2b3!8m2!3d52.6221993!4d1.2950886"
143,SC143,SSCS Birmingham,Peterborough Magistrates Court,Bridge Street,,Rochdale,Cambridgeshire,PE1 1ED,01733 60218,201,"https://www.google.com/maps/place/Peterborough+Magistrates+Court/@52.5699432,-0.2437566,17z/data=!3m1!4b1!4m5!3m4!1s0x4877f054852ddb7f:0x12224bb95dfa6581!8m2!3d52.5699432!4d-0.2415679"
146,SC919,SSCS Birmingham,Acorn House,Great Oaks,,Basildon,,SS14 1AH,,201,"https://www.google.com/maps/place/Great+Oaks+Basildon+SS14+1AH/@51.571550,0.458347"
147,SC921,SSCS Birmingham,Enfield Tribunal Centre,288 Southbury Road,,Enfield,Middlesex,EN1 1TR,,201,"https://www.google.com/maps/place/Enfield+Tribunals+Service/@51.6494727,-0.0593956,17z/data=!4m8!1m2!2m1!1s288+Southbury+Road+Enfield+Middlesex+EN1+1TR!3m4!1s0x0:0x5f703fe0df49f569!8m2!3d51.6494532!4d-0.0571458"
151,SC151,SSCS Birmingham,Ashford House,"1st Floor, Ashford House",County Square Shopping Centre,Ashford,Kent,TN23 1YB,,4501,"https://www.google.com/maps/place/1st+Floor%2C+Ashford+House+County+Square+Shopping+Centre+Ashford+Kent+TN23+1YB/@51.148349,0.869790"
154,SC154,SSCS Sutton,Copthall House,9 The Pavement,Grove Road,Sutton,Surrey,SM1 1DA,020 8710 2947,4501,"https://www.google.com/maps/place/HM+Courts+%26+Tribunals+Service/@51.3600284,-0.1948051,17z/data=!4m5!3m4!1s0x4876081024445bf3:0xcff7bbd4c8de0065!8m2!3d51.3600284!4d-0.1926111"
156,SC242,SSCS Sutton,Fox Court,4th Floor,30 Brooke Street,,,EC1N 7RS,,4501,"https://www.google.com/maps/place/4th+Floor+30+Brooke+Street+EC1N+7RS/@51.518706,-0.110348"
168,SC168,SSCS Sutton,Bexleyheath Tribunal Centre,40/46 Avenue Road,,Bexleyheath,,DA7 4EG,081 301 6146,4501,"https://www.google.com/maps/place/HM+Courts+and+Tribunals+Service/@51.462488,0.1322332,18.59z/data=!4m5!3m4!1s0x47d8aefa78a21203:0xb9824df45e37c945!8m2!3d51.4624141!4d0.1323513"
170,SC170,SSCS Birmingham,Margate Magistrates Court,Cecil Square,,Margate,Kent,CT9 1RL,,4501,"https://www.google.com/maps/place/Margate+Magistrates'+Court/@51.3875311,1.3795451,17z/data=!3m1!4b1!4m5!3m4!1s0x47d953aee912ce55:0xae0d090ce0ceb9d6!8m2!3d51.3875311!4d1.3817391"
171,SC171,SSCS Birmingham,The Law Courts,Old Orchard Road,,Eastbourne,East Sussex,BN21 4UN,,4501,"https://www.google.com/maps/place/Eastbourne+County+Court/@50.7675182,0.2755401,17z/data=!3m1!4b1!4m5!3m4!1s0x47df73fc2b34bbbd:0xbb7d285b7a53555b!8m2!3d50.7675182!4d0.2777341"
173,SC173,SSCS Sutton,Hatton Cross SSCS Tribunal,York House,2-3 Dukes Green Avenue,,"Feltham, Middlesex",TW14 OLS,0300 123 1142,4501,"https://www.google.com/maps/place/IAC+Hatton+Cross/@51.4584255,-0.4161272,17z/data=!3m1!4b1!4m5!3m4!1s0x4876730ef467d05b:0x6abf87930b598efa!8m2!3d51.4584255!4d-0.4139332"
175,SC175,SSCS Birmingham,Reading Tribunal Centre,5th Floor,30-31 Friar Street,Reading,,RG1 1DX,,401,"https://www.google.com/maps/place/5th+Floor+30-31+Friar+Street+Reading+RG1+1DX/@51.456923,-0.973351"
177,SC177,SSCS Birmingham,City Gate House,185 Dyke Road,,Brighton,,BN3 1TL,,4501,"https://www.google.com/maps/place/Tribunals/@50.8323971,-0.1497871,19.01z/data=!4m12!1m6!3m5!1s0x4875856f8f677411:0x650b834527f488e6!2sTribunals!8m2!3d50.8324279!4d-0.1495538!3m4!1s0x4875856f8f677411:0x650b834527f488e6!8m2!3d50.8324279!4d-0.1495538"
178,SC178,SSCS Birmingham,Bromley Magistrates Court,1st Floor Conference Room,,1 London Road,"Bromley, Kent",BR1 1RA,,4501,"https://www.google.com/maps/place/Bromley+Magistrates'+Court/@51.407627,0.0088869,17z/data=!3m1!4b1!4m5!3m4!1s0x47d8aa728671d2e3:0xa6b298d539f44806!8m2!3d51.407627!4d0.0110809"
179,SC113,SSCS Glasgow,Wallace House,Maxwell Place,,Stirling,,FK8 1JU,,501,"https://www.google.com/maps/place/Wallace+House/@56.1206653,-3.9398036,17z/data=!4m8!1m2!2m1!1sWallace+House+FK8+1JU!3m4!1s0x4888629572c7c569:0xfb6827670433296e!8m2!3d56.1207496!4d-3.9376619"
186,SC186,SSCS Cardiff,Vintry Building,3rd Floor,Vintry Building,Wine Street,Bristol,BS1 2BD,,4503,"https://www.google.com/maps/place/3rd+Floor+Vintry+Building+Wine+Street+Bristol+BS1+2BD/@51.455602,-2.591665"
187,SC187,SSCS Cardiff,Caernarfon County Court,Llanberis Road,Llanberis Road,Caernarfon,Gwynedd,LL55 2DF,01286 678911,301,"https://www.google.com/maps/place/Caernarfon+County+Court/@53.1409744,-4.2669829,17z/data=!3m1!4b1!4m5!3m4!1s0x4865a5ff57dae931:0x1efdfc1c37958879!8m2!3d53.1409712!4d-4.2647942"
189,SC189,SSCS Cardiff,Rivershill House,Floor 2,82 St Georges Road,Cheltenham,Gloucestershire,GL50 3EX,01242 254144,4503,"https://www.google.com/maps/place/Floor+2+82+St+Georges+Road+Cheltenham+Gloucestershire+GL50+3EX/@51.899450,-2.084082"
192,SC192,SSCS Cardiff,Weymouth Magistrates Court,The Law Courts,Westway Road,,Weymouth,DT4 8BS,,4503,"https://www.google.com/maps/place/Weymouth+Magistrates+Court/@50.6080249,-2.4621751,17z/data=!4m8!1m2!2m1!1sweymouth+combined+court!3m4!1s0x4872f7063f4c98e9:0xa2273a361df4d377!8m2!3d50.6083527!4d-2.460119"
