1,SC001,SSCS Leeds,Barnsley SSCS Hearing Venue,Wellington House,,Wellington Street,Barnsley,S70 1WA,0223 391230,101,"https://www.google.com/maps/place/Wellington+House+Wellington+Street+Barnsley+S70+1WA/@53.550589,-1.480475"
2,SC028,SSCS Birmingham,The Hilton Hotel,Elton Way,,Watford,Hertfordshire,WD25 8HA,,401,"https://www.google.com/maps/place/Hilton+Watford/@51.6619157,-0.3606389,16.22z/data=!4m13!1m7!3m6!1s0x48761540757265d5:0xcef8473b5922e8fd!2sElton+Way,+Watford+WD25+8HH,+UK!3b1!8m2!3d51.6618537!4d-0.3565498!3m4!1s0x4876044da1f6b35b:0x6f27a262bd6fd675!8m2!3d51.66515!4d-0.3607142"
3,SC003,SSCS Leeds,Doncaster Hearing Centre,Ground Floor,3 Portland Place,Doncaster,South Yorkshire,DN1 3DF,01302 341 880,101,"https://www.google.com/maps/place/3+Portland+Place+Doncaster+South+Yorkshire+DN1+3DF/@53.520821,-1.136599"
7,SC007,SSCS Leeds,York House,31 York Place,31 York Place,Leeds,Yorkshire,LS1 2ED,0113 245 1246,101,"https://www.google.com/maps/place/The+Tribunals+Service/@53.7971387,-1.5524043,18z/data=!4m13!1m7!3m6!1s0x48795ea12ae48c7f:0x7b6a8126da344a8c!2sYork+House,+31+York+Pl,+Leeds+LS1+2BA,+UK!3b1!8m2!3d53.797142!4d-1.554806!3m4!1s0x48795ea12a3fffff:0x3cb53b546320c717!8m2!3d53.7971387!4d-1.5517823"
8,SC008,SSCS Leeds,Pioneer House,Ground Floor,"Pioneer Hs, Woolpacks Yard      ",Wakefield,,WF1 2SG,01924 298810,101,"https://www.google.com/maps/place/Pioneer+House/@53.6830351,-1.5038469,17z/data=!3m1!4b1!4m5!3m4!1s0x487966fd97666997:0xb09ed2cca8d733df!8m2!3d53.6830319!4d-1.5016582"
9,SC009,SSCS Leeds,York County Court,Piccadilly House,55 Piccadilly,,York,YO1 9WL,01904 624065,101,"https://www.google.com/maps/place/Piccadilly+House+55+Piccadilly+York+YO1+9WL/@53.954741,-1.076506"
10,SC010,SSCS Leeds,The Scarborough Justice Centre,9 Northway,,Scarborough,North Yorkshire,YO12 7AE,-,101,"https://www.google.com/maps/place/Scarborough+Justice+Centre/@54.2816179,-0.4099295,17z/data=!4m13!1m7!3m6!1s0x487f478cc3237307:0x7801bbd9b1d633dd!2s9+Northway,+Scarborough+YO12,+UK!3b1!8m2!3d54.2816179!4d-0.4077408!3m4!1s0x487f478ce41c70f5:0x2f15d5bd1d689c!8m2!3d54.2815317!4d-0.4080036"
11,SC011,SSCS Leeds,The Scarborough Justice Centre,9 Northway,,Scarborough,North Yorkshire,YO12 7AE,-,101,"https://www.google.com/maps/place/Scarborough+Justice+Centre/@54.2816179,-0.4099295,17z/data=!4m13!1m7!3m6!1s0x487f478cc3237307:0x7801bbd9b1d633dd!2s9+Northway,+Scarborough+YO12,+UK!3b1!8m2!3d54.2816179!4d-0.4077408!3m4!1s0x487f478ce41c70f5:0x2f15d5bd1d689c!8m2!3d54.2815317!4d-0.4080036"
22,SC022,SSCS Birmingham,Bedford Hearing Centre,8-10 Howard Street,,BEDFORD,,MK40 3HS,,201,"https://www.google.com/maps/place/Employment+Tribunals+Service/@52.1378448,-0.4657639,19.71z/data=!4m13!1m7!3m6!1s0x4877b6db3803501d:0x2be349b6c14f5d2d!2s8+Howard+St,+Bedford+MK40,+UK!3b1!8m2!3d52.1378727!4d-0.4655385!3m4!1s0x4877b6db4b0ed441:0xdbc7d4d151d45c47!8m2!3d52.1378623!4d-0.4657508"
24,SC024,SSCS Birmingham,Birmingham Youth Court,Steelhouse Lane,,Birmingham,West Midlands,B4 6BJ,0121-643-6464,401,"https://www.google.com/maps/place/Birmingham+Youth+Court/@52.4835298,-1.8957448,18z/data=!3m1!4b1!4m5!3m4!1s0x4870bc8fbffce56b:0xf208be12a218271d!8m2!3d52.4835298!4d-1.8949009"
30,SC030,SSCS Birmingham,Boston Court House,55 Norfolk Street,,Boston,Lincolnshire,PE21 6PE,01205-350622,201,"https://www.google.com/maps/place/55+Norfolk+Street+Boston+Lincolnshire+PE21+6PE/@52.982735,-0.025146"
34,SC034,SSCS Birmingham,Derwent Court,Macklin Street,,Derby,,DE1 1SG,01332 369716,201,"https://www.google.com/maps/place/90+Macklin+St,+Derby+DE1+1JX,+UK/@52.9211605,-1.4821964,19.82z/data=!4m5!3m4!1s0x4879f13cf5a13123:0xdfa8b8d73a25aab2!8m2!3d52.9211477!4d-1.4817997"
35,SC035,SSCS Birmingham,Harrow Civic Centre,"Building 1, 1st Floor","Civic Centre, Station St.       ",Harrow,Middlesex,HA1 2XF,,401,"https://www.google.com/maps/place/Harrow+Council/@51.589109,-0.3345036,19.74z/data=!4m8!1m2!2m1!1sCivic+Centre+Station+Road+Harrow+HA1+2XY!3m4!1s0x0:0x4047395a1114c521!8m2!3d51.589166!4d-0.334369"
37,SC037,SSCS Birmingham,Kettering Magistrates Court,The Court House,London Road,Kettering,,NN15 7QP,01536-410333,201,"https://www.google.com/maps/place/The+Court+House+London+Road+Kettering+NN15+7QP/@52.399079,-0.726940"
38,SC038,SSCS Birmingham,Kings Court,,5A New Walk,,Leicester,LE1 6TE,01162-531730,201,"https://www.google.com/maps/place/52%C2%B037'48.5%22N+1%C2%B007'50.0%22W/@52.6301497,-1.1327347,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d52.6301497!4d-1.130546"
40,SC040,SSCS Birmingham,Lincoln County Court Building,360 High Street,,Lincoln,Lincolnshire,LN5 7PS,01522-567151,201,"https://www.google.com/maps/place/Lincoln+County+Court/@53.2244617,-0.5450222,17z/data=!4m15!1m9!2m8!1sHotels!3m6!1sHotels!2s53.2244617,+-0.5428335!3s0x48785b2e4915e91f:0x7c0a2b187113f637!4m2!1d-0.5428335!2d53.2244617!3m4!1s0x48785b2e4915e8df:0xac30dad1e8201859!8m2!3d53.2243726!4d-0.5414549"
43,SC043,SSCS Birmingham,The Church of Christ,The Cornerstone,300 Saxon Gate West,Central Milton Keynes,,MK9 2ES,,201,"https://www.google.com/maps/place/The+Cornerstone+300+Saxon+Gate+West+Central+Milton+Keynes+MK9+2ES/@52.041140,-0.761126"
44,SC044,SSCS Birmingham,St. Katherines House,St. Katherines Street,,Northampton,,NN1 2LX,01604-24152,201,"https://www.google.com/maps/place/Independent+Tribunal+Service/@52.2374067,-0.90036,20.09z/data=!4m13!1m7!3m6!1s0x48770ee76512d181:0xb3e4c576f7145a31!2sSt+Katherines+St,+Northampton+NN1,+UK!3b1!8m2!3d52.2374617!4d-0.8995206!3m4!1s0x48770ee76ec8d6a7:0x6941ec99bc37726c!8m2!3d52.2373639!4d-0.8999683"
45,SC045,SSCS Birmingham,Byron House,4th Floor,2a Maid Marian Way,Nottingham,,NG1 6HS,01159-241774,201,"https://www.google.com/maps/place/Byron+House,+4+Maid+Marian+Way,+NG1+6HS,+UK/@52.9529668,-1.155384,19z/data=!3m1!4b1!4m5!3m4!1s0x4879c22a1653fc7f:0xf87eac605b23f187!8m2!3d52.952988!4d-1.1546132"
48,SC048,SSCS Birmingham,Oxford Combined Court Centre,St Aldates,,Oxford,,OX1 1TL,01865 248245,401,"https://www.google.com/maps?q=51.7481704505,-1.25707212708"
49,SC049,SSCS Birmingham,Ground Floor,Bennett House,Town Road,Hanley,Stoke-on-Trent,ST1 2QB,,401,"https://www.google.com/maps/place/Bennett+House+Town+Road+Hanley+Stoke-on-Trent+ST1+2QB/@53.031820,-2.172557"
51,SC051,SSCS Birmingham,Telford Magistrates Court,Telford Square,,Malinsgate,Telford,TF3 4HX,01952-292406,401,"https://www.google.com/maps/place/Telford+County+Court/@52.6772593,-2.4523386,17.78z/data=!4m15!1m9!4m8!1m0!1m6!1m2!1s0x487a802a79df6923:0xaa4710e4ec682ac0!2sTelford+County+Court,+Telford+Square,+Telford+TF3+4JP,+UK!2m2!1d-2.4514975!2d52.6777402!3m4!1s0x487a802a79df6923:0xaa4710e4ec682ac0!8m2!3d52.6777404!4d-2.4514975"
52,SC052,SSCS Birmingham,Radius House,51 Clarendon Road,,Watford,Hertfordshire,WD17 1HU,,401,"https://www.google.com/maps/place/51+Clarendon+Road+Watford+Hertfordshire+WD17+1HU/@51.660076,-0.397506"
53,SC053,SSCS Birmingham,Wolverhampton Tribunal Centre,Ground Floor,31 Waterloo Road,WOLVERHAMPTON,West Midlands,WV1 4DJ,01902-711839,401,"https://www.google.com/maps/place/31+Waterloo+Rd,+Wolverhampton+WV1+4DJ,+UK/@52.5870872,-2.1331787,20.14z/data=!4m5!3m4!1s0x48709b84d2e1517b:0x150ae6b8aceec812!8m2!3d52.5872695!4d-2.1331277"
60,SC944,SSCS Liverpool,Stockport Law Courts,The Court House,Edward Street,Stockport,Cheshire,SK1 3DQ,,601,"https://www.google.co.uk/maps/place/Stockport+Magistrates+%26+County+Court/@53.4065732,-2.1585401,17z/data=!3m1!4b1!4m5!3m4!1s0x487bb37becc98b1d:0x5004db7a53406bb7!8m2!3d53.4065732!4d-2.1563461"
61,SC061,SSCS Liverpool,SSCS Tribunal,Barrow Law Courts,Abbey Road,Barrow-in-Furness,,LA14 5QX,,601,"https://www.google.co.uk/maps/place/Law+Courts/@54.1165073,-3.2297877,17z/data=!3m1!4b1!4m5!3m4!1s0x487ca8dac9ca32a7:0x87157deca89a4fc4!8m2!3d54.1165073!4d-3.2275937"
62,SC062,SSCS Liverpool,County Court Building,76 Hamilton Street,,Birkenhead,,CH41 5EN,,601,"https://www.google.com/maps/place/76+Hamilton+Street+Birkenhead+CH41+5EN/@53.391398,-3.016773"
63,SC063,SSCS Liverpool,Soho Foundry,"2nd Floor, Soho Foundary",Cicely Lane,Blackburn,Lancs,BB1 1HQ,,601,"https://www.google.co.uk/maps/place/The+Best+Connection+-+Blackburn/@53.748465,-2.478027,18z/data=!3m1!4b1!4m5!3m4!1s0x487b9fc9712df261:0x222f19afae4546a7!8m2!3d53.748465!4d-2.47693"
64,SC064,SSCS Liverpool,Prudential House,2-10 Topping Street,,Blackpool,,FY1 3AB,,601,"https://www.google.com/maps/place/2-10+Topping+Street+Blackpool+FY1+3AB/@53.820175,-3.050717"
65,SC065,SSCS Liverpool,Chester Civil Justice Centre,Trident House,Little St John Street,,Chester,CH1 1SN,,601,"https://www.google.com/maps/place/Trident+House+Little+St+John+Street+Chester+CH1+1SN/@53.188580,-2.886911"
67,SC067,SSCS Liverpool,Lancaster Magistrates Court,George Street,,Lancaster,Lancashire,LA1 1XZ,,601,"https://www.google.com/maps/place/Magistrates+Court/@54.0464446,-2.7995684,17z/data=!3m1!4b1!4m5!3m4!1s0x487b627ddf8bbc67:0x69c9a506b77d0c2c!8m2!3d54.0464446!4d-2.7973797"
68,SC068,SSCS Liverpool,Prudential House,36 Dale Street,,Liverpool,Merseyside,L2 5UZ,051 236 4334,601,"https://www.google.com/maps/place/36+Dale+Street+Liverpool+Merseyside+L2+5UZ/@53.407820,-2.988509"
70,SC946,SSCS Liverpool,Manchester Civil Justice Centre,1 Bridge Street West,,,Manchester,M60 9DJ,,601,"https://www.google.com/maps/place/1+Bridge+Street+West+Manchester+M60+9DJ/@53.481291,-2.252334"
71,SC947,SSCS Liverpool,Old Post Office,The Esplanade,,,,OL16 1AE,,601,"https://www.google.com/maps/place/Old+Post+Office,+The+Esplanade,+Rochdale+OL16+1AE,+UK/@53.6165237,-2.1609664,17z/data=!3m1!4b1!4m5!3m4!1s0x487bb95b1a05cc9f:0xcf405b73889181f8!8m2!3d53.6165237!4d-2.1587777"
75,SC075,SSCS Liverpool,Deafway,Brockholes Brow,,Preston,Lancashire,PR2 5AL,0151 342 1400,601,"https://www.google.com/maps/place/Deafway/@53.7655175,-2.6511283,17z/data=!4m13!1m7!3m6!1s0x487b73b092ffa3eb:0x3d18ea7adbbf6ff8!2sBrockholes+Brow,+Preston,+UK!3b1!8m2!3d53.7655175!4d-2.6489396!3m4!1s0x0:0x10897e0cf87c9cf3!8m2!3d53.765406!4d-2.6531124"
79,SC079,SSCS Liverpool,Wigan & Leigh Court House,Darlington Street,,Wigan,Greater Manchester,WN1 1DW,,601,"https://www.google.com/maps/place/Darlington+Street+Wigan+Greater+Manchester+WN1+1DW/@53.542792,-2.626847"
81,SC081,SSCS Glasgow,The AB1 Building,48 Huntly Street,,Aberdeen,,AB10 1SH,,501,"https://www.google.com/maps/place/AB1+Building/@57.145774,-2.1092923,17z/data=!4m8!1m2!2m1!1sab1+building+48+Huntly+Street+Aberdeen+AB10+1SH!3m4!1s0x48840e23f4627621:0xd296eb1b5d3d8ee3!8m2!3d57.1459279!4d-2.1070763"
84,SC084,SSCS Glasgow,Russell House,King Street,,Ayr,,KA8 0BD,,501,"https://www.google.com/maps/place/Russell+House,+King+St,+Ayr+KA8+0BE,+UK/@55.4664801,-4.6271002,17z/data=!3m1!4b1!4m5!3m4!1s0x4889d420ddacc5b9:0xb6e56f0b29fa2a40!8m2!3d55.4664032!4d-4.6248978"
